model,seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score
TFN,43,text_r0.3_early,text,0.3,early,728,0.607142857143,0.577834077805,0.639384639542,0.596379316819,0.719150621692
TFN,43,text_r0.3_middle,text,0.3,middle,728,0.596153846154,0.567981275051,0.642088421411,0.576553582226,0.711349293854
TFN,43,text_r0.3_late,text,0.3,late,728,0.526098901099,0.504574790289,0.725832738632,0.432642655318,0.656505723985
TFN,43,text_r0.4_early,text,0.4,early,728,0.616758241758,0.588931654129,0.638696157507,0.595445848429,0.724240865129
TFN,43,text_r0.4_middle,text,0.4,middle,728,0.592032967033,0.565924849064,0.637755613068,0.57580046559,0.709891361678
TFN,43,text_r0.4_late,text,0.4,late,728,0.473901098901,0.461787321892,0.742320426115,0.376493011132,0.625053713835
TFN,43,text_r0.5_early,text,0.5,early,728,0.614010989011,0.586156017753,0.642019635266,0.58532164553,0.721456139246
TFN,43,text_r0.5_middle,text,0.5,middle,728,0.597527472527,0.575263504611,0.640336846979,0.566449164318,0.712323187867
TFN,43,text_r0.5_late,text,0.5,late,728,0.432692307692,0.426608138783,0.754231147212,0.297340104666,0.595566326902
TFN,43,audio_r0.1_early,audio,0.1,early,728,0.614010989011,0.587540670204,0.642483599417,0.596803119387,0.723218154751
TFN,43,audio_r0.1_middle,audio,0.1,middle,728,0.616758241758,0.592142846203,0.642785808906,0.596389837919,0.724991259692
TFN,43,audio_r0.1_late,audio,0.1,late,728,0.611263736264,0.583738836157,0.642586577781,0.596290014897,0.721512454226
TFN,43,audio_r0.2_early,audio,0.2,early,728,0.618131868132,0.598090940139,0.644993370588,0.59420082481,0.726456081394
TFN,43,audio_r0.2_middle,audio,0.2,middle,728,0.60989010989,0.590576396002,0.646889444635,0.593518435586,0.722352704061
TFN,43,audio_r0.2_late,audio,0.2,late,728,0.60989010989,0.588807342792,0.643664748771,0.595231899197,0.722258986038
TFN,43,audio_r0.3_early,audio,0.3,early,728,0.607142857143,0.588917105055,0.650260901923,0.592304936466,0.720958903361
TFN,43,audio_r0.3_middle,audio,0.3,middle,728,0.603021978022,0.586908314048,0.653540299018,0.592370087756,0.719297988194
TFN,43,audio_r0.3_late,audio,0.3,late,728,0.60989010989,0.591631465866,0.646817531943,0.593974057291,0.722676420603
TFN,43,audio_r0.4_early,audio,0.4,early,728,0.603021978022,0.590340195514,0.658892546305,0.590736419245,0.719728739694
TFN,43,audio_r0.4_middle,audio,0.4,middle,728,0.59478021978,0.583639228165,0.664990343414,0.590468006858,0.715705431868
TFN,43,audio_r0.4_late,audio,0.4,late,728,0.604395604396,0.591193857578,0.654912148843,0.592385369917,0.720657530531
TFN,43,audio_r0.5_early,audio,0.5,early,728,0.592032967033,0.582582513795,0.67227968678,0.590086116189,0.714402981115
TFN,43,audio_r0.5_middle,audio,0.5,middle,728,0.590659340659,0.582099435905,0.678109253956,0.589809828027,0.713661370396
TFN,43,audio_r0.5_late,audio,0.5,late,728,0.583791208791,0.573899222034,0.666372266112,0.592103509898,0.710670035356
TFN,43,vision_r0.1_early,vision,0.1,early,728,0.618131868132,0.589721468445,0.643344066474,0.595809448907,0.724633512488
TFN,43,vision_r0.1_middle,vision,0.1,middle,728,0.618131868132,0.587996198392,0.642849344417,0.595353188001,0.72416577578
TFN,43,vision_r0.1_late,vision,0.1,late,728,0.616758241758,0.588812259812,0.642860220878,0.595969293696,0.724102944568
TFN,43,vision_r0.2_early,vision,0.2,early,728,0.616758241758,0.586574663994,0.643723937048,0.595263693775,0.72341935745
TFN,43,vision_r0.2_middle,vision,0.2,middle,728,0.614010989011,0.582935538309,0.643318083803,0.594567096473,0.721752598731
TFN,43,vision_r0.2_late,vision,0.2,late,728,0.615384615385,0.585140972238,0.642767507573,0.595126177055,0.722740189555
TFN,43,vision_r0.3_early,vision,0.3,early,728,0.619505494505,0.589160953119,0.644364457838,0.594804400781,0.724668642927
TFN,43,vision_r0.3_middle,vision,0.3,middle,728,0.614010989011,0.583145350592,0.644152296748,0.59388164506,0.721684611502
TFN,43,vision_r0.3_late,vision,0.3,late,728,0.616758241758,0.585227272727,0.643293682767,0.594518976785,0.723007347271
TFN,43,vision_r0.4_early,vision,0.4,early,728,0.620879120879,0.590230254568,0.644900041545,0.595001737056,0.725281725929
TFN,43,vision_r0.4_middle,vision,0.4,middle,728,0.619505494505,0.58792403808,0.645072604371,0.593727800572,0.724195333036
TFN,43,vision_r0.4_late,vision,0.4,late,728,0.615384615385,0.583023496033,0.643716481719,0.594177430244,0.722052686563
TFN,43,vision_r0.5_early,vision,0.5,early,728,0.625,0.595925524111,0.646221620312,0.594243271,0.727585889056
TFN,43,vision_r0.5_middle,vision,0.5,middle,728,0.619505494505,0.588133743578,0.646057751506,0.59294532341,0.724108901968
TFN,43,vision_r0.5_late,vision,0.5,late,728,0.615384615385,0.58236994999,0.644539136368,0.593531002249,0.721774219276
