model,seed,scenario_id,modality,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B5-P2,43,text_r0.5_middle,text,0.5,middle,728,0.593406593407,0.592609016999,0.601870850435,0.628588505676,0.72499951371,15,0.4,0.342105263158
B5-P2,43,text_r0.5_late,text,0.5,late,728,0.600274725275,0.579673740287,0.626905699711,0.624237192349,0.721895694613,15,0.266666666667,0.277777777778
B5-P2,43,audio_r0.1_early,audio,0.1,early,728,0.64010989011,0.627014985749,0.598393533589,0.650127095358,0.748114041985,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.1_middle,audio,0.1,middle,728,0.64010989011,0.627014985749,0.598772131669,0.650057236365,0.748089534691,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.1_late,audio,0.1,late,728,0.64010989011,0.627014985749,0.598811063731,0.649973868024,0.748077491479,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.2_early,audio,0.2,early,728,0.641483516484,0.628129309733,0.598268899662,0.650161631058,0.748745539617,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.2_middle,audio,0.2,middle,728,0.64010989011,0.627014985749,0.598798373161,0.650050299325,0.748087574165,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.2_late,audio,0.2,late,728,0.64010989011,0.627014985749,0.598818232566,0.649964038175,0.748075964047,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.3_early,audio,0.3,early,728,0.641483516484,0.628129309733,0.598235006352,0.650145469788,0.74874493168,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.3_middle,audio,0.3,middle,728,0.64010989011,0.627014985749,0.598869998028,0.650010666311,0.748079635669,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.3_late,audio,0.3,late,728,0.64010989011,0.627014985749,0.598862075211,0.649966574021,0.74807445425,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.4_early,audio,0.4,early,728,0.641483516484,0.628129309733,0.598334790494,0.650123268663,0.748737998866,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.4_middle,audio,0.4,middle,728,0.64010989011,0.627014985749,0.599134217702,0.649959136071,0.748062185236,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.4_late,audio,0.4,late,728,0.64010989011,0.627014985749,0.598940935774,0.649928993243,0.748066470796,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.5_early,audio,0.5,early,728,0.64010989011,0.626486423178,0.598758334166,0.650040479863,0.747955874381,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.5_middle,audio,0.5,middle,728,0.641483516484,0.628129309733,0.599207825636,0.649923408839,0.748676639924,15,0.466666666667,0.49728049728
B5-P2,43,audio_r0.5_late,audio,0.5,late,728,0.64010989011,0.627014985749,0.599265496937,0.649869137214,0.748045465411,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.1_early,vision,0.1,early,728,0.64010989011,0.627168775011,0.598865126239,0.650277215585,0.748151604635,15,0.466666666667,0.49728049728
B5-P2,43,vision_r0.1_middle,vision,0.1,middle,728,0.638736263736,0.625586029067,0.598895699175,0.65032943337,0.747417764906,15,0.466666666667,0.49728049728
