model,training_seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B0-WCE,43,text_r0.5_middle,text,0.5,middle,728,0.6043956043956044,0.5961877827059331,0.6019270961520845,0.6251737166090676,0.7282122656785143,15,0.4,0.3421052631578947
B0-WCE,43,text_r0.5_late,text,0.5,late,728,0.6112637362637363,0.5852187028657617,0.6191052760273873,0.6195097461093465,0.7257632748782351,15,0.3333333333333333,0.32556332556332557
B0-WCE,43,audio_r0.1_early,audio,0.1,early,728,0.6373626373626373,0.6159943192590218,0.5962021894149154,0.6406191059610793,0.7435748695082616,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.1_middle,audio,0.1,middle,728,0.6373626373626373,0.6159943192590218,0.5965167299465655,0.6404745287343115,0.7435436914994301,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.1_late,audio,0.1,late,728,0.6373626373626373,0.6159943192590218,0.5968261223317093,0.6403315700975688,0.7435129303204564,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.2_early,audio,0.2,early,728,0.6373626373626373,0.6159943192590218,0.5960407979929676,0.6406821530038697,0.7435894750311915,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.2_middle,audio,0.2,middle,728,0.6373626373626373,0.6159943192590218,0.5965494484548549,0.64045107772702,0.74353939685234,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.2_late,audio,0.2,late,728,0.6373626373626373,0.6159943192590218,0.596829545136623,0.6403174194792084,0.7435110188762899,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.3_early,audio,0.3,early,728,0.6373626373626373,0.6159943192590218,0.5958973254527447,0.640690436071454,0.7435964884371489,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.3_middle,audio,0.3,middle,728,0.635989010989011,0.6148976258168348,0.5966154597699642,0.6404166679511333,0.7429147652049379,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.3_late,audio,0.3,late,728,0.6373626373626373,0.6159943192590218,0.5968518514431768,0.6403222976266228,0.7435106992152769,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.4_early,audio,0.4,early,728,0.6373626373626373,0.6159943192590218,0.595993024767837,0.6406707079899653,0.7435900349555006,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,audio_r0.4_middle,audio,0.4,middle,728,0.635989010989011,0.6148976258168348,0.5969892652336877,0.6403128121817139,0.7428862080061054,15,0.5333333333333333,0.5555555555555555
