model,training_seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B0-WCE,42,vision_r0.2_middle,vision,0.2,middle,728,0.6456043956043956,0.6036418703085369,0.6149069364899054,0.6380362058052995,0.7414449698501495,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.2_late,vision,0.2,late,728,0.6483516483516484,0.6073487095959006,0.6154657202813734,0.6370210808084746,0.7429083195762226,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.3_early,vision,0.3,early,728,0.6428571428571429,0.6022499124662349,0.6186905384247938,0.6337041945591847,0.7397110157163761,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.3_middle,vision,0.3,middle,728,0.6428571428571429,0.6007111755553012,0.6146244673713387,0.6387163001318477,0.7401222643124529,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.3_late,vision,0.3,late,728,0.646978021978022,0.6059279366534658,0.6157718565734615,0.6365716599001443,0.7421407864548291,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.4_early,vision,0.4,early,728,0.6456043956043956,0.6066531055861932,0.6198712470787731,0.632429054762126,0.7412900385146308,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.4_middle,vision,0.4,middle,728,0.6428571428571429,0.6007728255411279,0.6151680121413217,0.6385620273984304,0.7400957450184831,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.4_late,vision,0.4,late,728,0.6497252747252747,0.6090974740511911,0.6150484352710319,0.6371937892164303,0.7437278927098772,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.5_early,vision,0.5,early,728,0.646978021978022,0.6077504897108992,0.6206870501461837,0.631876282303509,0.7418047027874113,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.5_middle,vision,0.5,middle,728,0.6442307692307693,0.6053000696977052,0.6162435004518336,0.6378893255820424,0.7414420629110475,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,vision_r0.5_late,vision,0.5,late,728,0.6483516483516484,0.609908783355923,0.6140712407202675,0.6374451566891014,0.7436594508163527,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,text+audio_r0.3_early,text+audio,0.3,early,728,0.6318681318681318,0.5927703416873005,0.6247773892450873,0.6218820632000871,0.7328624850703237,15,0.6,0.6091686091686092
B0-WCE,42,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.6497252747252747,0.6178794663580894,0.6128152717559875,0.6269615804361669,0.7447374131688624,15,0.4666666666666667,0.4444444444444445
B0-WCE,42,text+audio_r0.3_late,text+audio,0.3,late,728,0.6401098901098901,0.5959938364560603,0.6276310662288669,0.6292215671639482,0.7365273331107783,15,0.6,0.6243386243386243
B0-WCE,42,text+vision_r0.3_early,text+vision,0.3,early,728,0.6318681318681318,0.5903467130402498,0.6285425166312891,0.6186267924692009,0.7316927887594418,15,0.6,0.6091686091686092
B0-WCE,42,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.6442307692307693,0.6115101758488795,0.6118033329270535,0.6284293117473865,0.7419970946997082,15,0.4666666666666667,0.4444444444444445
B0-WCE,42,text+vision_r0.3_late,text+vision,0.3,late,728,0.6414835164835165,0.5982267907162866,0.6268160025957603,0.6289853797537185,0.7374334158276755,15,0.6666666666666666,0.6908424908424907
B0-WCE,42,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.6428571428571429,0.6020883047651968,0.6183524232378209,0.6338329828749873,0.7397008004633825,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.6428571428571429,0.6005382038761439,0.614834714808839,0.6386310431559024,0.7400596039607745,15,0.5333333333333333,0.5555555555555555
B0-WCE,42,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.646978021978022,0.6059279366534658,0.6162454401255473,0.6364699520489339,0.7421083403254242,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,clean,none,0.0,clean,728,0.6373626373626373,0.6159943192590218,0.5962484039130856,0.6405954286453764,0.7435699842397083,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text_r0.1_early,text,0.1,early,728,0.6318681318681318,0.6097961365357191,0.5968977440005312,0.6382715823743048,0.7403292755643953,15,0.5333333333333333,0.5555555555555555
B0-WCE,43,text_r0.1_middle,text,0.1,middle,728,0.6346153846153846,0.6153044817132663,0.5974651146731288,0.6352664739757726,0.7419938960510872,15,0.4,0.39740259740259737
