model,training_seed,modalities,rho,accuracy,macro_f1,mae,pearson,selection_score,scenario_count_averaged
B0-WCE,43,audio,0.2,0.6373626373626373,0.6159943192590218,0.5964732638614818,0.6404835500700327,0.7435466302532738,3
B0-WCE,43,audio,0.3,0.6369047619047619,0.6156287547782928,0.5964548788886286,0.6404764672164034,0.7433406509524546,3
B0-WCE,43,audio,0.4,0.6369047619047619,0.6156056256092559,0.5966236414370765,0.6404330658529093,0.7433224117169066,3
B0-WCE,43,audio,0.5,0.6373626373626373,0.6159721143104201,0.5968413241787544,0.6403234729684837,0.7435057335318768,3
B0-WCE,43,text,0.1,0.6323260073260073,0.6087984391892182,0.5990770224826376,0.6370723904424785,0.7399536178306729,3
B0-WCE,43,text,0.2,0.6286630036630036,0.6043561123247154,0.6020170841263709,0.634558924528431,0.7374905993910514,3
B0-WCE,43,text,0.3,0.6263736263736264,0.6030457788801729,0.604396380327178,0.6303018002592561,0.7359593938322244,3
B0-WCE,43,text,0.4,0.6172161172161172,0.5961453006476949,0.6050796827639116,0.6273803169314254,0.7315512406338849,3
B0-WCE,43,text,0.5,0.6071428571428571,0.5899229483123076,0.6142242711460415,0.615690653603917,0.7256351050998624,3
B0-WCE,43,vision,0.1,0.6364468864468864,0.6145796713958275,0.5965254264542553,0.6406639369964592,0.7429844054829753,3
B0-WCE,43,vision,0.2,0.6369047619047619,0.6158068100896804,0.5968147358591003,0.6406696300754429,0.743394316097245,3
B0-WCE,43,vision,0.3,0.63507326007326,0.6138434229021366,0.5971652965740243,0.6401748655520836,0.7423691415806086,3
B0-WCE,43,vision,0.4,0.6355311355311355,0.6142006495349769,0.5970907831025538,0.6401382742326686,0.7425714479163386,3
B0-WCE,43,vision,0.5,0.6346153846153846,0.6128450564741795,0.5977833211292332,0.6396727022182382,0.741916559669286,3
B0-WCE,44,audio,0.1,0.6373626373626373,0.6218423070928129,0.6120726661210805,0.6453403488610135,0.7449657519664442,3
B0-WCE,44,audio,0.2,0.6373626373626373,0.6218770221294504,0.6120707302477087,0.6453386980782961,0.7449743050391544,3
B0-WCE,44,audio,0.3,0.6369047619047619,0.6215474395184881,0.6120570179863045,0.6453516363699975,0.7447796291526328,3
B0-WCE,44,audio,0.4,0.6369047619047619,0.6215474395184881,0.6120469642670027,0.6453545040908347,0.7447804065227084,3
B0-WCE,44,audio,0.5,0.6364468864468864,0.6212184931162268,0.6123748709747888,0.6452378446287756,0.7445554558454257,3
B0-WCE,44,text,0.1,0.6341575091575091,0.6186260745592281,0.6158988377379574,0.6406629189515056,0.7426163092257076,3
B0-WCE,44,text,0.2,0.6263736263736264,0.6103118446660175,0.61858719156632,0.6370685756827829,0.7380304734049955,3
B0-WCE,44,text,0.3,0.6268315018315018,0.6124080508010409,0.6213580825273971,0.6319237112875401,0.7379104319637699,3
B0-WCE,44,text,0.4,0.6185897435897436,0.606119592758711,0.6200737693575603,0.6299844114664445,0.7340889784638541,3
B0-WCE,44,text,0.5,0.6080586080586081,0.5984044847405262,0.6299413428658913,0.6153438157629966,0.7272861942174127,3
B0-WCE,44,vision,0.1,0.6373626373626373,0.6219117371660879,0.6112727771083323,0.6455287178424214,0.7450399843163035,3
B0-WCE,44,vision,0.2,0.6369047619047619,0.6217522360457537,0.6111741943793174,0.6454874444455984,0.7448845886108572,3
B0-WCE,44,vision,0.3,0.6355311355311355,0.6206146425559628,0.6110389538419744,0.6450312622573863,0.7442053958938656,3
B0-WCE,44,vision,0.4,0.6332417582417582,0.6181029475502136,0.6104251559526956,0.6445664209522592,0.7429725975689964,3
B0-WCE,44,vision,0.5,0.6323260073260073,0.6172268472580296,0.609295883130678,0.6441701866621578,0.7425221585150008,3
B5-P2,42,audio,0.1,0.6483516483516484,0.6234347966531252,0.6082948283104724,0.6462904900154224,0.7483873046568515,3
B5-P2,42,audio,0.2,0.6478937728937729,0.6230480984445991,0.6081386487095211,0.6463305111538294,0.7481876713659249,3
B5-P2,42,audio,0.3,0.6474358974358975,0.622661400236073,0.6080903907582819,0.6463383377588566,0.7479795170229213,3
B5-P2,42,audio,0.4,0.6474358974358975,0.622661400236073,0.6082378489122259,0.6463005092161948,0.7479686443653409,3
B5-P2,42,audio,0.5,0.6474358974358975,0.622661400236073,0.6086786257908186,0.646199096707564,0.7479376020984874,3
B5-P2,42,text,0.1,0.6456043956043956,0.6193312658563712,0.6099783525181314,0.644324882370508,0.7463587609732497,3
B5-P2,42,text,0.2,0.6346153846153846,0.6085502338173311,0.6130140668647739,0.6397992586659794,0.7402240591553941,3
B5-P2,42,text,0.3,0.6277472527472527,0.6031628335153764,0.6139832536328325,0.6322879732967204,0.7361808826597126,3
B5-P2,42,text,0.4,0.6236263736263736,0.6018481520537353,0.6143632625918767,0.6254927169296042,0.7339567517615663,3
B5-P2,42,text,0.5,0.6117216117216118,0.5912966412697555,0.6201227525907531,0.611513322297016,0.726355280510354,3
