model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B3.1-alpha0,vision_r0.3_middle,vision,0.3,middle,728,0.635989010989011,0.6145004054329357,0.596011094493116,0.6415006524961697,0.7429761400636281,-0.0013736263736263687,-0.0014939138260861018,-0.00023730363758223127,0.0009052156084575769,-0.0005938454473048971
B3.1-alpha0,vision_r0.3_late,vision,0.3,late,728,0.6346153846153846,0.6138800389193089,0.5966685767398103,0.6398869370115795,0.7422485323126287,-0.0027472527472527375,-0.0021142803397129484,0.0004201786091121429,-0.00070849987613264,-0.0013214531983043454
B3.1-alpha0,vision_r0.4_early,vision,0.4,early,728,0.6346153846153846,0.6136534534088497,0.5996954025966781,0.6383415098217247,0.741872589792246,-0.0027472527472527375,-0.0023408658501721247,0.003447004465979897,-0.002253927065987482,-0.0016973957186869892
B3.1-alpha0,vision_r0.4_middle,vision,0.4,middle,728,0.6373626373626373,0.6152719475098563,0.5959726382446077,0.6417448417399275,0.7435445581754224,0.0,-0.0007223717491655623,-0.0002757598860905208,0.0011494048522153744,-2.542733551058607e-05
B3.1-alpha0,vision_r0.4_late,vision,0.4,late,728,0.6346153846153846,0.6136765476862246,0.5956043002226359,0.6403284721626679,0.742297196253126,-0.0027472527472527375,-0.0023177715727972226,-0.0006440979080623022,-0.00026696472504428304,-0.0012727892578070499
B3.1-alpha0,vision_r0.5_early,vision,0.5,early,728,0.6332417582417582,0.6113299090373291,0.6006000894531198,0.6381640020609973,0.7408884133501831,-0.004120879120879106,-0.0046644102216927275,0.004351691322421636,-0.002431434826714818,-0.0026815721607499343
B3.1-alpha0,vision_r0.5_middle,vision,0.5,middle,728,0.635989010989011,0.6132298211905627,0.5970393363539908,0.6407017923576294,0.7425157930748475,-0.0013736263736263687,-0.0027644980684591314,0.0007909382232925699,0.00010635546991721867,-0.0010541924360855104
B3.1-alpha0,vision_r0.5_late,vision,0.5,late,728,0.6346153846153846,0.6139754391946468,0.5957105320745281,0.6401523080103706,0.7423454722840321,-0.0027472527472527375,-0.002018880064375006,-0.0005378660561701221,-0.0004431288773415476,-0.0012245132269008696
B3.1-alpha0,text+audio_r0.3_early,text+audio,0.3,early,728,0.6236263736263736,0.6015510710553814,0.6053816771523638,0.6255335801057919,0.7342618221356476,-0.013736263736263687,-0.014443248203640402,0.009133279021665608,-0.015061856781920291,-0.009308163375285394
B3.1-alpha0,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.6263736263736264,0.6102579531738198,0.597945514667247,0.6341032568057703,0.7385064055431142,-0.01098901098901095,-0.005736366085202005,0.001697116536548804,-0.006492180081941856,-0.00506357996781881
B3.1-alpha0,text+audio_r0.3_late,text+audio,0.3,late,728,0.6263736263736264,0.5931169822376366,0.6103421275729088,0.630845492419809,0.7332974167230873,-0.01098901098901095,-0.02287733702138517,0.014093729442210656,-0.009749944467903116,-0.01027256878784566
B3.1-alpha0,text+vision_r0.3_early,text+vision,0.3,early,728,0.6195054945054945,0.5967848867211393,0.6076938201888249,0.6240610255941422,0.7317596476647251,-0.017857142857142794,-0.019209432537882543,0.011445422058126709,-0.016534411293569917,-0.011810337846207886
B3.1-alpha0,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.6318681318681318,0.6169500845662886,0.5961958303699618,0.6347550433245627,0.7417074415920938,-0.005494505494505475,0.0009557653072668204,-5.2567760736366154e-05,-0.005840393563149471,-0.0018625439188392212
B3.1-alpha0,text+vision_r0.3_late,text+vision,0.3,late,728,0.6236263736263736,0.5927903746453457,0.6093088491400193,0.6302256855120011,0.7324945290427626,-0.013736263736263687,-0.023203944613676142,0.013060451009321072,-0.010369751375711056,-0.01107545646817043
B3.1-alpha0,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.6346153846153846,0.6130022780921118,0.5984613375768966,0.6392325219826275,0.7418725918589986,-0.0027472527472527375,-0.0029920411669099867,0.002212939446198381,-0.0013629149050846667,-0.0016973936519344424
B3.1-alpha0,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.6373626373626373,0.6158476396883145,0.5976450569712772,0.6408583349933785,0.743507983763107,0.0,-0.00014667957070735316,0.0013966588405790459,0.00026289810566637595,-6.200174782600154e-05
B3.1-alpha0,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.6332417582417582,0.6124653064895845,0.5972493263626737,0.6396178853466081,0.741493613252717,-0.004120879120879106,-0.0035290127694372897,0.0010009282319755064,-0.0009775515411040159,-0.002076372258215997
B3.1-alpha0.25,clean,none,0.0,clean,728,0.6304945054945055,0.6099039933774355,0.597810265091299,0.6399075421403034,0.7401793064400524,0.0,0.0,0.0,0.0,0.0
B3.1-alpha0.25,text_r0.1_early,text,0.1,early,728,0.6263736263736264,0.6048931730881714,0.5975018887944356,0.6384657868764836,0.7377290111919084,-0.004120879120879106,-0.00501082028926414,-0.00030837629686342183,-0.0014417552638198439,-0.0024502952481439966
B3.1-alpha0.25,text_r0.1_middle,text,0.1,middle,728,0.6304945054945055,0.6119155354449471,0.5986096771167857,0.6345194507937396,0.7399753717042146,0.0,0.0020115420675116402,0.0007994120254867232,-0.005388091346563817,-0.0002039347358377963
B3.1-alpha0.25,text_r0.1_late,text,0.1,late,728,0.6346153846153846,0.6089371004102002,0.603564911547557,0.6370766028069453,0.7403741586261161,0.004120879120879106,-0.0009668929672352888,0.005754646456258006,-0.0028309393333580957,0.0001948521860637431
B3.1-alpha0.25,text_r0.2_early,text,0.2,early,728,0.6222527472527473,0.6012452700378397,0.6013708211338291,0.6345666220365388,0.7351382145299712,-0.008241758241758212,-0.00865872333959583,0.0035605560425301386,-0.005340920103764635,-0.005041091910081175
