model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B1-WCE,vision_r0.3_early,vision,0.3,early,728,0.6263736263736264,0.6031650767584793,0.6187993824727588,0.6490433706189195,0.7377317895073597,0.0027472527472527375,-0.0006405162944255194,0.004332190911684686,-0.0010064043404692802,0.00022037561599452804
B1-WCE,vision_r0.3_middle,vision,0.3,middle,728,0.625,0.600895724259788,0.6231873365999251,0.6497234703862977,0.7367232258382373,0.0013736263736263687,-0.002909868793116832,0.00872014503885099,-0.00032630457309101857,-0.0007881880531278584
B1-WCE,vision_r0.3_late,vision,0.3,late,728,0.6263736263736264,0.6039562876608076,0.619179574363343,0.6495676410598333,0.7379792847092816,0.0027472527472527375,0.00015069460790273492,0.004712382802268933,-0.00048213389955542585,0.00046787081791643814
B1-WCE,vision_r0.4_early,vision,0.4,early,728,0.6318681318681318,0.6060438479190599,0.6251625042449642,0.6457140747835994,0.7391438166178744,0.008241758241758212,0.0022382548661550317,0.010695312683890124,-0.004335700175789325,0.001632402726509219
B1-WCE,vision_r0.4_middle,vision,0.4,middle,728,0.625,0.5988489571477154,0.6274688918716632,0.6492304999748235,0.7359715146224625,0.0013736263736263687,-0.004956635905189466,0.013001700310589115,-0.0008192749845652436,-0.0015398992689027446
B1-WCE,vision_r0.4_late,vision,0.4,late,728,0.6263736263736264,0.6001419211574109,0.6218571103802257,0.6508726169006142,0.7370772510628267,0.0027472527472527375,-0.0036636718954938807,0.007389918819151631,0.000822841941225394,-0.00043416282853847576
B1-WCE,vision_r0.5_early,vision,0.5,early,728,0.6222527472527473,0.5945306009095505,0.630959740103028,0.6432768676766508,0.7333154563291963,-0.0013736263736263687,-0.009274992143354366,0.016492548541953922,-0.006772907282737939,-0.0041959575621689504
B1-WCE,vision_r0.5_middle,vision,0.5,middle,728,0.6236263736263736,0.5951671087618488,0.6312892902335459,0.6492702655287981,0.7345534333617576,0.0,-0.00863848429105607,0.016822098672471753,-0.0007795094305906858,-0.0029579805296076067
B1-WCE,vision_r0.5_late,vision,0.5,late,728,0.6236263736263736,0.5950711684763089,0.6257775035471871,0.6500879935964846,0.7348613220774318,0.0,-0.0087344245765959,0.011310311986112986,3.8218637095854824e-05,-0.0026500918139333862
B1-WCE,text+audio_r0.3_early,text+audio,0.3,early,728,0.5947802197802198,0.5767322749135765,0.6247626235401564,0.6218032685246688,0.7195717562581928,-0.028846153846153855,-0.02707331813932834,0.010295431979082337,-0.02824650643471993,-0.0179396576331724
