model,category,group,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,pearson_mean,pearson_sd,selection_score_mean,selection_score_sd
TFN,modality_location,audio/late,0.5886446886446887,0.014848725317735808,0.5779333900520482,0.007928093871788668,0.6319864999977087,0.016382556552906723,0.6071108687263065,0.013006457308225278,0.7162006074317347,0.004520176311305263
TFN,modality_location,audio/middle,0.5851648351648352,0.01627848677695114,0.5763490581338195,0.009774199559824176,0.6340372146560977,0.020145538406400113,0.6081715951892762,0.01476408844775812,0.7149817054459858,0.0045525571421880275
TFN,modality_location,text/early,0.6018315018315018,0.009868464306628588,0.5789462822209078,0.0018785333332355326,0.6344663241658114,0.006679846795601885,0.5999433968843636,0.006588642834732123,0.7187512737834056,0.002486249189894122
TFN,modality_location,text/late,0.4634615384615385,0.05567916182655344,0.4385192053371193,0.05098696086001004,0.7174703802724093,0.0008614975048795241,0.4251908348717362,0.014257541991311679,0.6237494411306144,0.027227480426438154
TFN,modality_location,text/middle,0.5870879120879121,0.017296787075491423,0.5662661740968603,0.011396236293393024,0.6366412095193352,0.0043360125336515945,0.582456347810691,0.003664267811336505,0.7096188479592238,0.006705322842473791
TFN,modality_location,vision/early,0.6098901098901099,0.011423419168292212,0.586184658979978,0.004729750895476586,0.6342247018165845,0.010452896112494428,0.604910172048383,0.010208101175310713,0.7232064344812121,0.002244233603250632
TFN,modality_location,vision/late,0.6086996336996338,0.008610493771367434,0.5847548245641764,0.0037950733320677847,0.6335060896084136,0.009985722797018483,0.6048411713435261,0.010538504431031182,0.7225726739168761,0.0010487871874736339
TFN,modality_location,vision/middle,0.6086996336996338,0.012132576490972678,0.5845354537139046,0.001295854296801063,0.6342224395202793,0.010414217779591508,0.604243781951693,0.010132052766665586,0.7224133096173345,0.0028828451905029044
TFN,modality_rho,audio/0.1,0.6036324786324786,0.009275039440927071,0.5842555559097004,0.006514784861450996,0.6300947795561214,0.011233478561802472,0.6066670012049473,0.01088892084554834,0.7215514346379914,0.0014745667688948153
TFN,modality_rho,audio/0.2,0.5963064713064713,0.01423347183398568,0.5843870852965751,0.007483493451164336,0.6281142340380567,0.014785358341373137,0.6069264025056547,0.012797526661217404,0.7198677630457161,0.0033585364083589904
TFN,modality_rho,audio/0.3,0.5880647130647131,0.018109731680337224,0.5798496372342921,0.01033340897795012,0.6298397340392751,0.01763807518214155,0.6071617683223849,0.014141380149736768,0.716630486363413,0.005897100602981716
TFN,modality_rho,audio/0.4,0.5804334554334555,0.02061117782828052,0.5749179128970785,0.01574850091010997,0.6351200058557075,0.0212115387220988,0.6069654293305492,0.015137881367795293,0.713245187171631,0.007729806615322583
TFN,modality_rho,audio/0.5,0.5699023199023199,0.017437381940887765,0.565412773458806,0.01397385358777973,0.6433593222276696,0.025054801013399935,0.6082847128877621,0.01613843956157477,0.7080577240250988,0.005657109835689221
TFN,modality_rho,text/0.1,0.5946275946275946,0.01216892507037703,0.5704268289761454,0.00544483021097823,0.6430052207212587,0.005579558215039137,0.5896706383652509,0.009636911882307694,0.7131805514998723,0.003834636676873312
TFN,modality_rho,text/0.2,0.5715811965811965,0.030497163714638027,0.5513358058584173,0.017867818910384005,0.6576879827583707,0.0033191227165788144,0.5616828605308223,0.0024421717939097356,0.6985359422279909,0.012197892955199059
TFN,modality_rho,text/0.3,0.5456349206349206,0.03067879465018861,0.5247413545635677,0.023010558415468136,0.6662747101558052,0.003201052354429274,0.5332269725103039,0.005779403214079276,0.6814859941069182,0.01315013202223051
TFN,modality_rho,text/0.4,0.5277777777777778,0.031703811621640425,0.5047271430384708,0.030045478897500717,0.6706756822351521,0.0021146355586273632,0.5116901045755609,0.008857007171270134,0.6691426731828759,0.015381428735609048
TFN,modality_rho,text/0.5,0.5143467643467643,0.032577873685989286,0.48832163698821124,0.03626105455679301,0.6766529273920066,0.0020630947589220876,0.48304705662937986,0.0076019602777142705,0.6578541104377494,0.01672146442490895
TFN,modality_rho,vision/0.1,0.6095848595848596,0.008245996739462847,0.5866127010990714,0.006138812544236814,0.6334599799897876,0.010114516383808657,0.6052889203903773,0.01008591511732401,0.7233163393868721,0.0008590469818516086
TFN,modality_rho,vision/0.2,0.6088217338217339,0.009823891966882872,0.5852830410821753,0.0017791309944974946,0.6333718050301976,0.010284503453220463,0.6051142190756469,0.010485670822492956,0.7227749792341749,0.0020517535207122605
TFN,modality_rho,vision/0.3,0.6095848595848596,0.010504558490579857,0.5855468339822948,0.0016914187725251288,0.6337560271197232,0.010358542905236322,0.6047528980711305,0.0105691892883505,0.7229705345206915,0.0021769258846646034
TFN,modality_rho,vision/0.4,0.6085164835164836,0.012001229324250162,0.5841364298825233,0.003168927751118455,0.6341300070924305,0.01044389301595459,0.604622754439582,0.010324686826627112,0.7223189890258482,0.0024060772411282254
TFN,modality_rho,vision/0.5,0.608974358974359,0.013207147529172137,0.5842125560507,0.004011107587848086,0.6352042323433236,0.01025359196247375,0.6035464169292668,0.010003921047069193,0.7222731878581179,0.003227154183623136
MulT,by_location,early,0.602436914936915,0.017613883820321394,0.5807507956377143,0.02040417317120422,0.6271624345052171,0.01729087574472066,0.6233498358085864,0.008214810448861385,0.7225838890153465,0.00585207786579226
MulT,by_location,late,0.5953144078144078,0.026036348003517767,0.5670338793569789,0.028154469151028472,0.6348469408201418,0.018888856182363592,0.6216727886732799,0.004856778599066402,0.7168442145095009,0.0099800157693132
MulT,by_location,middle,0.6023606023606025,0.018995905371007205,0.5769695164732429,0.02045556668559293,0.6306897381172862,0.021167610522464932,0.6245334357608406,0.00600285805032899,0.7216204700903461,0.005953202609697882
MulT,by_modality,audio,0.6112637362637363,0.019117273669591775,0.5907823096911744,0.018798739341196816,0.6234153722665899,0.02545235374682872,0.6357048014928202,0.010029130078692787,0.7289989711642221,0.006488116504375334
MulT,by_modality,text,0.5782967032967032,0.02854544112591323,0.5523899316484425,0.029172167674590955,0.6394556933639841,0.012047778501202703,0.6025751437648339,0.003228628566573531,0.7063495644833914,0.011327663102090076
MulT,by_modality,vision,0.6180402930402931,0.011035083515843402,0.5872731235977905,0.023988453303757287,0.6281253595394679,0.029991707644190766,0.6356395037217523,0.010964176820711354,0.7296114021439287,0.00426029882599173
MulT,by_ratio,0.1,0.6138583638583639,0.017420006704500394,0.5873133531006862,0.02149575709044909,0.6231269078887544,0.021997257248293968,0.6336385602146278,0.009379340481971648,0.7285341281045595,0.004885443570370583
