model,seed,category,group,accuracy,macro_f1,mae,pearson,selection_score
TFN,43,modality_rho,text/0.5,0.5480769230769231,0.5293425537157705,0.6788625431523382,0.48303697150463365,0.6764485513382384
TFN,43,modality_location,text/early,0.6101648351648351,0.5811073087520515,0.6405781800213914,0.594308550477878,0.7204158472880651
TFN,43,modality_location,text/middle,0.6013736263736263,0.5742499668666013,0.641469480728751,0.5783482454385106,0.7144715339595061
TFN,43,modality_location,text/late,0.5228021978021978,0.4969487915785975,0.7166922730844018,0.435601391998946,0.6545257432998837
TFN,43,modality_rho,audio/0.1,0.614010989010989,0.5878074508545427,0.6426186620346492,0.5964943240673171,0.7232406228900206
TFN,43,modality_rho,audio/0.2,0.6126373626373627,0.5924915596443334,0.6451825213314959,0.5943170531976287,0.7236892571646486
TFN,43,modality_rho,audio/0.3,0.6066849816849816,0.5891522949895824,0.6502062442947875,0.5928830271709088,0.7209777707193885
TFN,43,modality_rho,audio/0.4,0.6007326007326007,0.5883910937524499,0.6595983461872589,0.5911965986733492,0.7186972340309622
TFN,43,modality_rho,audio/0.5,0.5888278388278388,0.5795270572444422,0.6722537356159298,0.5906664847048354,0.7129114622888443
TFN,43,modality_location,audio/early,0.6068681318681318,0.5894942849412713,0.6537820210025369,0.5928262832192385,0.7209529720629833
TFN,43,modality_location,audio/middle,0.603021978021978,0.58707324406451,0.6572630299859077,0.5925112392291666,0.7192017508425217
TFN,43,modality_location,audio/late,0.6038461538461539,0.5858541448854291,0.6508706546900282,0.5939969702400185,0.7195550853508136
TFN,43,modality_rho,vision/0.1,0.6176739926739927,0.5888433088829765,0.6430178772566001,0.5957106435345437,0.724300744278702
TFN,43,modality_rho,vision/0.2,0.6153846153846154,0.5848837248470602,0.6432698428078176,0.5949856557674146,0.7226373819118533
TFN,43,modality_rho,vision/0.3,0.6167582417582418,0.58584452547927,0.6439368124512252,0.5944016742086353,0.7231202005666564
TFN,43,modality_rho,vision/0.4,0.6185897435897436,0.5870592628935165,0.6445630425450839,0.5943023226241246,0.7238432485094521
TFN,43,modality_rho,vision/0.5,0.61996336996337,0.5888097392263376,0.6456061693952306,0.5935731988861939,0.7244896701000665
TFN,43,modality_location,vision/early,0.6200549450549451,0.5903225728472538,0.6445108246436896,0.5950245103037297,0.7251178255700288
TFN,43,modality_location,vision/middle,0.6170329670329671,0.5860269737902953,0.6442900161688717,0.5940950107029355,0.7231814442033129
TFN,43,modality_location,vision/late,0.615934065934066,0.5849147901599475,0.6434354058610132,0.5946645760058821,0.7227354774466964
TFN,44,by_ratio,0.1,0.6039377289377289,0.5770142343863676,0.6336964946825817,0.611518025847073,0.7202737234501342
TFN,44,by_ratio,0.2,0.5909645909645911,0.5692218515061565,0.6373061078051344,0.5992759749701186,0.7134016863304045
TFN,44,by_ratio,0.3,0.5822649572649573,0.5614094922382105,0.6402024340210882,0.5878034390420924,0.7077189408385082
TFN,44,by_ratio,0.4,0.5724969474969475,0.5508180916780042,0.6427139833271595,0.5792817293959509,0.7014592266629334
TFN,44,by_ratio,0.5,0.5636446886446886,0.5405442188601959,0.646615344949717,0.5704609484449416,0.6954125393922673
TFN,44,by_location,early,0.5992826617826618,0.5783688488555079,0.6309697969821741,0.6139755363385516,0.7198694114942708
TFN,44,by_location,middle,0.5931776556776556,0.5754203813782388,0.6296961480150084,0.6043864421723054,0.7164604750348863
TFN,44,by_location,late,0.5354090354090354,0.507461137467738,0.6640855267067395,0.5354463354022934,0.6749781048650326
TFN,44,by_modality,text,0.5505494505494505,0.5215329606094465,0.6619624851251042,0.5332537825321362,0.6820955553926952
TFN,44,by_modality,audio,0.5849816849816849,0.5760060832845728,0.6240072167065717,0.620590471756006,0.7168204503399579
TFN,44,by_modality,vision,0.6124542124542126,0.5818656893073416,0.6343509170397326,0.6151598163319638,0.724043664271895
TFN,44,double_stress,text+audio,0.49954212454212454,0.4788671399010361,0.6597347215974477,0.5326707015247026,0.658697207068151
TFN,44,double_stress,text+vision,0.5407509157509157,0.5111730223887164,0.6682791842110182,0.5256673538655742,0.6758444377593124
TFN,44,double_stress,audio+vision,0.586996336996337,0.5804383779123513,0.6188918300580247,0.6194914749880959,0.718507953514933
