variant,condition,metric,seed42_delta,seed43_delta,seed44_delta,mean_paired_delta,sample_sd,positive_seed_count,tie_or_negative_seed_count
A3,clean,macro_f1,0.009703451752400394,0.010143559207833275,0.007284908739710549,0.00904397323331474,0.0015392058220316492,3,0
A3,clean,mae,-0.014471619389951229,-0.0014059761856365371,0.00985425893872327,-0.002007778878954832,0.012174100130056134,1,2
A3,clean,pearson,0.004154982292666198,0.011121051512584357,0.008401428389677279,0.007892487398309278,0.003510811272867537,3,0
A3,mean_missing,accuracy,0.00190781440781429,0.0023911273911275677,-0.00366300366300365,0.00021197937864606922,0.0033645234491328003,2,1
A3,mean_missing,macro_f1,0.007415861800480816,0.008589818557226736,0.0009703038601638347,0.005658661405957129,0.004102446340243226,3,0
A3,mean_missing,mae,-0.014988797764840855,-0.002738843514767275,0.008712605029586484,-0.003005012083340549,0.011852943005266426,1,2
A3,mean_missing,pearson,0.0035644717223414224,0.009029353175985744,0.007538078315839969,0.006710634404722378,0.002824841569916904,3,0
A4,clean,accuracy,0.0013736263736263687,0.0027472527472527375,0.0,0.0013736263736263687,0.0013736263736263687,2,1
A4,clean,macro_f1,0.020087131928048896,0.011020666490466069,0.0,0.010369266139504988,0.010059396556783836,2,1
A4,clean,mae,0.009654876996077366,-0.0021818289277399927,0.0008711015631619468,0.0027813832104997735,0.006145224467897819,2,1
A4,clean,pearson,0.010327061948141592,0.009523639720607546,-2.4715881840164933e-05,0.006608661928969657,0.005758701911423444,2,1
A4,mean_missing,accuracy,-0.004298941798941858,0.00035612535612539187,-0.0005596255596255206,-0.0015008140008139954,0.0024661284062101403,1,2
A4,mean_missing,macro_f1,0.013470040181369658,0.008107848418003272,-0.0004172738800877207,0.007053538239761736,0.007003431332164665,2,1
A4,mean_missing,mae,0.009458160070978217,-0.0025544506696680847,0.000828064113512883,0.0025772578382743383,0.006194389656506229,2,1
A4,mean_missing,pearson,0.00900559004884871,0.008254958977582771,-2.2814089492895206e-05,0.005745911645646196,0.005009941038248803,2,1
A5,clean,accuracy,0.0027472527472527375,0.0013736263736263687,-0.0013736263736263687,0.0009157509157509125,0.002098248944576842,2,1
A5,clean,macro_f1,0.018540516336393642,0.01177624890316753,0.0006372588047656169,0.010318008014775596,0.009040271424430932,3,0
A5,clean,mae,0.00411297585098791,0.0037064703416774814,0.005837610748770539,0.004552352313811976,0.0011314718802290368,3,0
A5,clean,pearson,0.009866817875798906,0.013919832952850375,0.002138189277121727,0.008641613368590336,0.005985618304638407,3,0
A5,mean_missing,accuracy,-0.003663003663003761,-0.001170126170126018,-0.0020095645095644654,-0.0022808981142314146,0.0012683950458710707,0,3
A5,mean_missing,macro_f1,0.011411970415150852,0.008525105679926037,-0.00038796885000214054,0.0065163690816915825,0.006151090042109587,2,1
A5,mean_missing,mae,0.0040189789286496636,0.002511377531260406,0.005330499806689759,0.0039536187555332765,0.001410697191153313,3,0
A5,mean_missing,pearson,0.00853388232909602,0.01214570239546131,0.0018622641099984572,0.007513949611518596,0.005217036783847652,3,0
A6,clean,accuracy,0.006868131868131844,0.0027472527472527375,0.0,0.0032051282051281937,0.003456883898933481,2,1
A6,clean,macro_f1,0.010553260485524518,0.0026618311441873876,0.0,0.004405030543237302,0.005488340808246996,2,1
A6,clean,mae,0.005129559103727033,-0.0002451405225956105,0.001305967799623331,0.002063462126918251,0.002766260519222869,2,1
A6,clean,pearson,-0.00014705712364759815,-0.00015707949165666424,0.00024988636169642753,-1.808341786927829e-05,0.00023212273485270034,1,2
A6,mean_missing,accuracy,0.0018569393569392023,0.0002543752543753275,-1.1102230246251565e-16,0.0007037715371048062,0.001006739145973699,2,1
A6,mean_missing,macro_f1,0.004797116901771203,-0.00011771774006474889,0.00010890258749629567,0.0015961005830675834,0.0027744762204191128,2,1
A6,mean_missing,mae,0.005052612048748406,-0.00018727780734051347,0.0011747557450788593,0.0020133633288289174,0.002718742068609713,2,1
A6,mean_missing,pearson,-0.00010493630155983258,-0.00014162499016512342,0.00017709971548163228,-2.3153858747774574e-05,0.00017439218864855562,1,2
A7,clean,accuracy,0.008241758241758212,0.0,0.0,0.0027472527472527375,0.00475838133947492,1,2
A7,clean,macro_f1,0.019421464662538024,0.0,0.0,0.006473821554179342,0.011212987850973131,1,2
A7,clean,mae,5.0337171530023817e-05,-4.029694105411874e-05,0.00022579949083079143,7.86132404355655e-05,0.00013528296204634702,2,1
A7,clean,pearson,-0.00026918029407574373,2.2099640368700157e-05,-8.151400910394457e-05,-0.00010953155427032939,0.0001476473405800209,1,2
A7,mean_missing,accuracy,0.0024674399674399217,-5.087505087497668e-05,7.631257631268706e-05,0.000830959164292544,0.0014186600147427224,2,1
A7,mean_missing,macro_f1,0.010822323253598554,4.5407799894592316e-05,9.525859313042062e-05,0.0036543298822078554,0.006207714394575696,3,0
A7,mean_missing,mae,0.0006407230606699788,-2.4196427424572065e-05,0.00020664350503407647,0.00027439004609316103,0.00033759691464982697,2,1
A7,mean_missing,pearson,-0.00031205265242573166,2.426114548137459e-05,-8.113808991772054e-05,-0.0001229765322873592,0.0001720162321137562,1,2
